Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_029392875.1	Lactobacillus sp. ESL0677	2983208	PRJNA906295	SAMN31060665	ASM2939287v1	ESL0677	ESL0677	Oxford Nanopore MiniION, Illumina MiSeq	1	2028798	180.0x		96.77	100	0.16	2023-03-27
GCF_029392855.1	Lactobacillus sp. ESL0680	2983210	PRJNA906295	SAMN31060667	ASM2939285v1	ESL0680	ESL0680	Oxford Nanopore MiniION, Illumina MiSeq	1	1708996	217.0x		96.77	100	0.16	2023-03-27
GCF_029392835.1	Lactobacillus sp. ESL0681	2983211	PRJNA906295	SAMN31060668	ASM2939283v1	ESL0681	ESL0681	Oxford Nanopore MiniION, Illumina MiSeq	2	1952329	189.0x		97.1	100	0.16	2023-03-27
GCF_029392675.1	Lactobacillus sp. ESL0684	2983213	PRJNA906295	SAMN31060670	ASM2939267v1	ESL0684	ESL0684	Oxford Nanopore MiniION, Illumina MiSeq	1	1889244	194.0x		97.42	100	0.16	2023-03-27
GCF_029392095.1	Lactobacillus sp. ESL0700	2983216	PRJNA906295	SAMN31060677	ASM2939209v1	ESL0700	ESL0700	Oxford Nanopore MiniION, Illumina MiSeq	2	2036426	187.0x		96.77	100	0.16	2023-03-27
GCF_029395555.1	Lactobacillus sp. ESL0731	2983221	PRJNA906295	SAMN31060688	ASM2939555v1	ESL0731	ESL0731	Oxford Nanopore MiniION, Illumina MiSeq	3	2052309	186.0x		96.77	100	0.16	2023-03-27
GCF_029395455.1	Lactobacillus sp. ESL0785	2983232	PRJNA906295	SAMN31060699	ASM2939545v1	ESL0785	ESL0785	Oxford Nanopore MiniION, Illumina MiSeq	1	1694003	199.0x		97.42	100	0.16	2023-03-27
GCF_026185255.2	Lactobacillus sp. IBH004	2879107	PRJNA764829	SAMN21529766	ASM2618525v2			Oxford Nanopore MinION and illumina NovaSeq6000	3	1981319	100.0x		97.68	100	0.81	2023-01-12
GCF_040050875.1	Lactobacillus sp. JCM 1131	3153753	PRJNA1113807	SAMN41466817	ASM4005087v1	JCM 1131	JCM 1131	Oxford Nanopore MinION	2	1894245	23.0x		95.32	100	0.16	2024-06-06
GCF_009834385.1	Lactobacillus sp. JM1	2690380	PRJNA565619	SAMN12753695	ASM983438v1	JM1	JM1	Illumina PE150 and Pacbio sequencing system	3	2085415	120.0x		99.35	100	0.16	2020-01-08
GCF_014522325.1	Lactobacillus sp. PV012	2594494	PRJNA548939	SAMN12237781	ASM1452232v1	PV012	PV012	PacBio Sequel; IonTorrent	2	1537991	1630.0x		96.03	100	0.81	2020-09-10
GCF_014522305.1	Lactobacillus sp. PV034	2594495	PRJNA548939	SAMN12237782	ASM1452230v1	PV034	PV034	PacBio Sequel; Illumina MiSeq	1	1584654	863.0x		95.03	100	0.16	2020-09-10
GCF_014522345.1	Lactobacillus sp. PV037	2594496	PRJNA548939	SAMN12237783	ASM1452234v1	PV037	PV037	PacBio Sequel; Illumina MiSeq	3	1698759	1682.0x		95.72	100	0.32	2020-09-10
GCF_017894345.1	Lactobacillus taiwanensis	508451	PRJNA645781	SAMN15573980	ASM1789434v1	CLG01	CLG01	Illumina NovaSeq; Oxford Nanopore	3	2041763	1000.0x		98.71	56.923077	0.34	2021-04-09
GCF_002762335.1	Lactobacillus terrae	2269374	PRJNA416054	SAMN07840594	ASM276233v1	NIBRBAC000499792	NIBRBAC000499792	PacBio	1	1548794	6.0x		97.13	100	0.16	2017-11-09
GCF_016647595.1	Lactobacillus ultunensis	227945	PRJNA649755	SAMN15678306	ASM1664759v1	Kx293C1	Kx293C1	Illumina MiSeq; Oxford Nanopore	2	2246389	400.0x		99.03	100	0.81	2021-01-15
GCF_033096005.1	Lactobacillus xylocopicola	2976676	PRJDB13360	SAMD00532386	ASM3309600v1	Kim32-2	Kim32-2	PacBio Sequel I	1	1635875	506.0x		96.13	100	0.24	2023-06-13
GCF_003627095.1	Lactococcus allomyrinae	2419773	PRJNA493670	SAMN10141031	ASM362709v1	1JSPR-7	1JSPR-7	PacBio RSII	3	2758410	254.0x		93.79	100	1.9	2018-10-07
GCF_006770265.1	Lactococcus carnosus	2749961	PRJNA342276	SAMN05756389	ASM677026v1	TMW 2.1612	TMW 2.1612	PacBio	1	2156377	398.0x		89	6.6666665	3.86	2019-07-09
GCF_002078375.4	Lactococcus cremoris	1359	PRJNA320683	SAMN04954999	ASM207837v4	158	158	Illumina MiSeq; PacBio Sequel	9	2493021	114.0x		98.91	61.57895	0.42	2023-07-14
GCF_002078765.3	Lactococcus cremoris	1359	PRJNA320719	SAMN04956304	ASM207876v3	UC109	UC109	PacBio Sequel; Illumina MiSeq	7	2418286	134.7x		99.17	72.63158	0.42	2023-11-03
GCF_002078895.2	Lactococcus cremoris	1359	PRJNA320689	SAMN04955031	ASM207889v2	JM1	JM1	PacBio RSII; Illumina MiSeq	10	2768844	49.3x		97.12	24.210526	0.87	2023-08-24
GCF_002078915.2	Lactococcus cremoris	1359	PRJNA320691	SAMN04955242	ASM207891v2	JM2	JM2	Illumina MiSeq; PacBio RSII	9	2633261	99.1x		97.61	42.105263	1.16	2023-05-05
GCF_002078935.2	Lactococcus cremoris	1359	PRJNA320692	SAMN04955245	ASM207893v2	JM3	JM3	Illumina MiSeq; PacBio RSII	6	2655844	72.0x		99.52	92.10526	0.56	2023-04-25
GCF_002078955.2	Lactococcus cremoris	1359	PRJNA320693	SAMN04955246	ASM207895v3	JM4	JM4	Illumina MiSeq; PacBio RSII	11	2694855	206.2x		96.6	16.31579	1.05	2023-08-22
GCF_003394085.1	Lactococcus cremoris	1359	PRJNA438435	SAMN08715697	ASM339408v1	3107	3107	PacBio; Illumina HiSeq	7	2540668	76.9x		97.26	31.578947	0.63	2018-08-16
GCF_003966935.1	Lactococcus cremoris	1359	PRJDB6381	SAMD00098207	ASM396693v1	C4	C4	Pacbio RS II	5	2628765	60.0x	Complete genome sequence of Lactococcus lactis subsp. cremoris strain C4	97.31	32.63158	0.42	2018-04-10
GCF_012689565.1	Lactococcus cremoris	1359	PRJNA622823	SAMN14600593	ASM1268956v1	F	F	PacBio RSII	4	2408645	130.6x		98.77	58.42105	0.42	2020-04-23
GCF_016629445.1	Lactococcus cremoris	1359	PRJDB10696	SAMD00253351	ASM1662944v1	G3-2	G3-2	Illumina Miseq; Nanopore MinION	12	2690691	248.0x	Genome sequences of two Lactococcus lactis subsp. cremoris strain EPSC and strain G3-2	97.44	34.736843	0.5	2020-12-15
GCF_016629465.1	Lactococcus cremoris	1359	PRJDB10696	SAMD00253352	ASM1662946v1	EPSC	EPSC	Illumina Miseq; Nanopore MinION	11	2690524	531.0x	Genome sequences of two Lactococcus lactis subsp. cremoris strain EPSC and strain G3-2	97.47	39.473682	0.42	2020-12-15
GCF_016921035.2	Lactococcus cremoris	1359	PRJNA486501	SAMN09847900	ASM1692103v2	W34	W34	PacBio Sequel; Illumina MiSeq	6	2547565	337.0x		96.81	19.473684	0.95	2023-07-12
GCF_016921055.1	Lactococcus cremoris	1359	PRJNA486500	SAMN09847899	ASM1692105v1	B26	B26	PacBio RSII; Illumina MiSeq	9	2492490	355.0x		98.7	56.842106	0.42	2021-02-23
GCF_016952995.2	Lactococcus cremoris	1359	PRJNA486499	SAMN09847898	ASM1695299v2	1196	1196	Illumina MiSeq; PacBio RSII	6	2621279	387.0x		97.99	47.894737	0.5	2023-07-10
GCF_017068275.1	Lactococcus cremoris	1359	PRJNA702603	SAMN17975934	ASM1706827v1	GR0507	GR0507	Oxford Nanopore MinION; Illumina iSeq	2	2455556	90.0x		97.71	44.736843	0.71	2021-02-28
GCF_017378735.1	Lactococcus cremoris	1359	PRJNA706152	SAMN18118902	ASM1737873v1	FM-YL11	FM-YL11	PacBio RSII	1	2406538	382.0x		97.19	27.894737	0.63	2021-03-18
GCF_023169905.1	Lactococcus cremoris	1359	PRJDB12509	SAMD00413988	ASM2316990v1	7-1	7-1	PacBio RS II	3	2687455	37.0x	Genetic characterization of probiotic candidate Lactococcus lactis subsp. cremoris strain 7-1	99.62	93.68421	0.91	2022-02-15
GCF_025562795.3	Lactococcus cremoris	1359	PRJNA689991	SAMN17224789	ASM2556279v3	F.2.7	F.2.7	Illumina MiSeq; Oxford Nanopore	10	2540323	243.0x		98.91	61.57895	0.47	2023-07-21
GCF_025562815.2	Lactococcus cremoris	1359	PRJNA691592	SAMN17298425	ASM2556281v2	UC047	UC047	Oxford Nanopore; Illumina MiSeq	4	2603809	362.0x		98.28	50	0.42	2023-07-10
GCF_025562855.2	Lactococcus cremoris	1359	PRJNA691591	SAMN17298417	ASM2556285v3	UC073	UC073	Oxford Nanopore; Illumina MiSeq	10	2917209	1904.0x		99.24	74.210526	1.61	2024-06-07
GCF_025562875.3	Lactococcus cremoris	1359	PRJNA691601	SAMN17300587	ASM2556287v3	NCDO700	NCDO700	Illumina MiSeq; PacBio Sequel	5	2660763	144.0x		99.34	85.26316	0.63	2023-06-30
GCF_031348565.1	Lactococcus cremoris	1359	PRJNA1012348	SAMN37256205	ASM3134856v1	KCKM 0438	KCKM 0438	Pacbio Sequel II; Illumina NovaSeq S4	1	2500427	279.0x		99.44	87.89474	0.63	2023-09-12
GCF_037892375.1	Lactococcus formosensis	1281486	PRJNA1055960	SAMN39080981	ASM3789237v1	M04020401 EE5e5	M04020401 EE5e5	Oxford Nanopore GridION; Illumina	2	2092563	65.0x		99.43	29.032259	1.97	2024-04-05
GCF_002355575.1	Lactococcus formosensis	1281486	PRJDB4555	SAMD00046983	ASM235557v1	122061	122061	PacBio RS II	2	2000108	1169.0x	Non-agglutinating Lactococcus formosensis 122061 Genome Sequencing	98.73	4.83871	0.92	2016-05-18
GCF_023822125.1	Lactococcus formosensis	1281486	PRJNA777811	SAMN22883097	ASM2382212v1	I4/6O	I4/6O	PacBio Sequel	6	2416903	2070.0x		99.79	79.03226	2.89	2022-06-21
GCF_030295725.1	Lactococcus formosensis	1281486	PRJDB15227	SAMD00577205	ASM3029572v1	MS200408A	MS200408A	PacBio Sequel IIe	3	2016262	107.0x		99.06	12.903226	0.92	2023-02-10
GCF_037101245.1	Lactococcus formosensis	1281486	PRJDB15069	SAMD00570829	ASM3710124v1	L21-20	L21-20	Nanopore GridION; Illumina MiSeq	3	2005813	2000.0x		99.12	14.5161295	0.92	2024-04-05
GCF_037892725.1	Lactococcus formosensis	1281486	PRJNA1055960	SAMN39080979	ASM3789272v1	M03102409 EE5d7	M03102409 EE5d7	Oxford Nanopore GridION; Illumina	2	2092569	131.0x		99.58	53.225807	1.97	2024-04-05
GCF_039645575.1	Lactococcus formosensis	1281486	PRJNA1055960	SAMN39080978	ASM3964557v1	M20011502 FF20a2	M20011502 FF20a2	Oxford Nanopore GridION; Illumina	1	2124569	253.0x		100	100	2.68	2024-05-18
GCF_038380755.1	Lactococcus formosensis subsp. formosensis	2906461	PRJNA1074855	SAMN40028299	ASM3838075v1	L5	L5	Illumina NovaSeq; Oxford Nanopore MinION	3	2064630	607.0x		99.65	61.29032	0.73	2024-04-20
GCF_016026695.1	Lactococcus garvieae	1363	PRJNA231221	SAMN13450459	ASM1602669v1	FDAARGOS_929	FDAARGOS_929	Pacbio; Illumina	2	2084337	1739.0x		93.97	21.052631	10.08	2020-12-14
GCF_004328725.1	Lactococcus garvieae	1363	PRJNA432118	SAMN08435054	ASM432872v1	JJJN1	JJJN1	PacBio	1	1965928	642.0x		96.42	54.736843	0.16	2019-03-06
GCF_016027715.1	Lactococcus garvieae	1363	PRJNA231221	SAMN13450423	ASM1602771v1	FDAARGOS_893	FDAARGOS_893	Pacbio; Illumina	2	2110259	1681.9x		94.82	29.473684	2.22	2020-12-14
GCF_017309485.1	Lactococcus garvieae	1363	PRJNA705383	SAMN18086910	ASM1730948v1	LG728	LG728	Illumina NovaSeq 6000; Nanopore PromethION 48	5	2130387	200.0x		96.11	49.473682	2.17	2021-03-09
GCF_017309505.1	Lactococcus garvieae	1363	PRJNA705383	SAMN18086911	ASM1730950v1	LG791	LG791	Illumina NovaSeq 6000; Nanopore PromethION 48	3	2014168	200.0x		95.31	33.68421	1.29	2021-03-09
GCF_020341655.1	Lactococcus garvieae	1363	PRJNA763925	SAMN21462875	ASM2034165v1	Lg-Granada	Lg-Granada	PacBio RSII	2	2149617	380.0x		97.56	82.10526	3.64	2021-10-07
GCF_021329025.1	Lactococcus garvieae	1363	PRJNA445601	SAMN08793958	ASM2132902v1	IBB3403	IBB3403	Oxford Nanopore MinION (SQK-LSK108 + R9.4) + Illumina MiSeq (2x300 PE)	3	2189642			96.6	60	5.59	2021-12-30
GCF_026073035.1	Lactococcus garvieae	1363	PRJDB13734	SAMD00496712	ASM2607303v1	MS210922A	MS210922A	PacBio Sequel IIe	1	2007159	283.0x		96.58	58.94737	1.68	2022-07-30
GCF_028993695.1	Lactococcus garvieae	1363	PRJNA937008	SAMN33386793	ASM2899369v1	Pa-2	Pa-2	Oxford Nanopore MinION; Illumina NovaSeq	2	2176822	877.0x		96.79	65.26316	2.38	2023-03-04
GCF_037076365.1	Lactococcus garvieae	1363	PRJDB15069	SAMD00570828	ASM3707636v1	L21-12	L21-12	Nanopore GridION; Illumina MiSeq	1	1950539			95.7	42.105263	1.57	2024-04-05
GCF_037076375.1	Lactococcus garvieae	1363	PRJDB15069	SAMD00570830	ASM3707637v1	L21-68	L21-68	Nanopore GridION; Illumina MiSeq	1	2007381			96.58	58.94737	1.68	2024-04-05
GCF_037891815.1	Lactococcus garvieae	1363	PRJNA1055960	SAMN39080984	ASM3789181v1	R22-8	R22-8	Oxford Nanopore GridION; Illumina	2	2426593	274.0x		97.84	89.47369	10.71	2024-04-05
GCF_037891825.1	Lactococcus garvieae	1363	PRJNA1055960	SAMN39080982	ASM3789182v1	CAHFS22OV20.5B5	CAHFS22OV20.5B5	Oxford Nanopore GridION; Illumina	1	2016716	312.0x		94.4	28.421053	1.67	2024-04-05
GCF_037892105.1	Lactococcus garvieae	1363	PRJNA1055960	SAMN39080987	ASM3789210v1	M21102102	M21102102	Oxford Nanopore GridION; Illumina	2	2144593	240.0x		96.79	65.26316	3.75	2024-04-05
GCF_038380565.1	Lactococcus garvieae	1363	PRJNA1074855	SAMN40028301	ASM3838056v1	L7	L7	Illumina iSeq; Oxford Nanopore MinION	2	1948591	168.0x		96.67	62.105263	1.23	2024-04-20
GCF_038381215.1	Lactococcus garvieae	1363	PRJNA1074855	SAMN40028296	ASM3838121v1	L2	L2	Illumina NovaSeq; Oxford Nanopore MinION	4	2019736	528.0x		97.62	85.26316	1.86	2024-04-20
GCF_039645535.1	Lactococcus garvieae	1363	PRJNA1055960	SAMN39080983	ASM3964553v1	CAHFS22LA20.5H7	CAHFS22LA20.5H7	Oxford Nanopore GridION; Illumina	1	2016721	330.0x		94.33	26.31579	1.67	2024-05-18
GCF_029024465.1	Lactococcus garvieae subsp. garvieae	1890280	PRJNA936091	SAMN33336519	ASM2902446v1	DSM 20684	DSM 20684	PacBio + Illumina HiSeq	3	2093258	143.0x		93.97	21.052631	9.42	2023-03-08
GCF_007954765.1	Lactococcus lactis	1358	PRJNA544551	SAMN11843663	ASM795476v1	CBA3619	CBA3619	PacBio RSII	2	2525433	547.8x		99.28	79.72441	0.86	2019-08-11
GCF_014334715.1	Lactococcus lactis	1358	PRJNA638236	SAMN15183971	ASM1433471v1	K_LL005	K_LL005	PacBio RSII	1	2375093	267.0x		97.39	11.811024	0.83	2020-08-31
GCF_014884605.1	Lactococcus lactis	1358	PRJNA645263	SAMN15500618	ASM1488460v1	N8	N8	PacBio	3	2573129	758.0x		99.17	67.32284	1.93	2020-10-13
GCF_016027975.1	Lactococcus lactis	1358	PRJNA231221	SAMN13450417	ASM1602797v1	FDAARGOS_887	FDAARGOS_887	Pacbio; Illumina	5	2582979	1542.7x		98.13	16.929134	0.65	2020-12-14
GCF_016028815.1	Lactococcus lactis	1358	PRJNA231221	SAMN13450396	ASM1602881v1	FDAARGOS_866	FDAARGOS_866	Pacbio; Illumina	5	2605663	1360.0x		98.65	33.464565	0.34	2020-12-14
GCF_016028835.1	Lactococcus lactis	1358	PRJNA231221	SAMN13450395	ASM1602883v1	FDAARGOS_865	FDAARGOS_865	Pacbio; Illumina	2	2577201	1321.0x		96.4	8.267716	1.01	2020-12-14
GCF_016127135.1	Lactococcus lactis	1358	PRJNA231221	SAMN16357233	ASM1612713v1	FDAARGOS_1064	FDAARGOS_1064	Pacbio; Illumina	5	2512739	1350.4x		99.16	66.14173	0.08	2020-12-20
GCF_016649195.2	Lactococcus lactis	1358	PRJNA667745	SAMN16383065	ASM1664919v2	LB7	LB7	Oxford Nanopore MinION; Illumina HiSeq	6	2987858	190.0x		99.11	62.204723	1.36	2023-02-21
GCF_020221755.1	Lactococcus lactis	1358	PRJNA231221	SAMN13450397	ASM2022175v1	FDAARGOS_867	FDAARGOS_867	Pacbio; Illumina	6	2684902	1557.0x		99.28	79.72441	0.66	2021-10-04
GCF_020463755.1	Lactococcus lactis	1358	PRJNA645372	SAMN15502559	ASM2046375v1	LAC460	LAC460	PacBio	1	2426597	408.0x		99.27	77.95276	0.51	2021-10-13
GCF_022670815.1	Lactococcus lactis	1358	PRJNA814528	SAMN26560258	ASM2267081v1	AH1	AH1	Illumina MiSeq; Oxford Nanopore MinION	9	2640087	168.0x		98.48	27.559055	0.75	2022-03-22
GCF_022809755.1	Lactococcus lactis	1358	PRJNA820483	SAMN27009659	ASM2280975v1	SCB469	SCB469	Nanopore	5	2711219	300.0x		98.94	48.622047	0.72	2022-04-03
GCF_023078515.1	Lactococcus lactis	1358	PRJNA826729	SAMN27578898	ASM2307851v1	JNU 534	JNU 534	PacBio Sequel	3	2497740	100.0x		98.43	23.031496	0.13	2022-04-21
GCF_023206755.1	Lactococcus lactis	1358	PRJNA699930	SAMN17817055	ASM2320675v1	KF140	KF140	PacBio RSII; Illumina HiSeq	4	2466849	294.0x		99.18	67.519684	0.8	2022-05-02
GCF_023734735.1	Lactococcus lactis	1358	PRJDB12881	SAMD00439154	ASM2373473v1	L8	L8	MGI DNBSEQ; GridION	1	2455239	1691.0x	Complete genome sequencing of a bacterium strain L8 affiliated with Lactococcus lactis subsp.lactis	99.36	84.44882	0.75	2022-05-03
GCF_023734755.1	Lactococcus lactis	1358	PRJDB12897	SAMD00439257	ASM2373475v1	ID-5	ID-5	MGI DNBSEQ; GridION	1	2489582	1857.0x	Complete genome sequencing of a bacterium strain ID-5 affiliated with Lactococcus lactis subsp.lactis	99.16	66.14173	0.95	2022-05-03
GCF_023809745.1	Lactococcus lactis	1358	PRJNA837060	SAMN28188621	ASM2380974v1	WiKim0124	WiKim0124	Sequel	1	2505913	453.0x		99.09	59.25197	0.35	2022-06-20
GCF_024205345.1	Lactococcus lactis	1358	PRJNA810899	SAMN26288030	ASM2420534v1	17M1	17M1	Oxford Nanopore	2	2396617	429.0x		99.2	69.291336	0.08	2022-07-11
GCF_024665635.1	Lactococcus lactis	1358	PRJNA860779	SAMN29862212	ASM2466563v1	R-707-1	R-707-1	Oxford Nanopore MiniION, Illumina MiSeq	7	2690060	94.0x		99.48	94.291336	0.72	2022-08-15
GCF_027594765.1	Lactococcus lactis	1358	PRJNA890371	SAMN31276505	ASM2759476v1	VHProbi V60	VHProbi V60	Illumina HiSeq; PacBio RSII	4	2548524	548.0x		98.45	24.80315	0.63	2023-01-09
GCF_028994235.1	Lactococcus lactis	1358	PRJNA937623	SAMN33411931	ASM2899423v1	P-1	P-1	Oxford Nanopore MinION; Illumina NovaSeq	1	2568009	851.0x		99.39	89.56693	0.64	2023-03-05
GCF_029023865.1	Lactococcus lactis	1358	PRJNA936091	SAMN33336512	ASM2902386v1	DSM 20481	DSM 20481	PacBio + Illumina HiSeq	3	2590459	288.0x		96.4	8.267716	1.01	2023-03-08
GCF_029542225.1	Lactococcus lactis	1358	PRJNA916374	SAMN32424878	ASM2954222v1	EP2	EP2	Oxford Nanopore	1	2348459	100.0x		99.27	77.95276	0.64	2023-04-03
GCF_029581115.1	Lactococcus lactis	1358	PRJNA947368	SAMN33849032	ASM2958111v1	ZFM559	ZFM559	PacBio Sequel; Illumina NovaSeq	4	2549394	100.0x		98.74	37.992126	0.08	2023-04-04
GCF_030480465.1	Lactococcus lactis	1358	PRJNA991286	SAMN36291390	ASM3048046v1	ZZ-2	ZZ-2	Oxford Nanopore PromethION	1	2527090	100.0x		99.36	84.44882	0.8	2023-07-15
GCF_032878815.1	Lactococcus lactis	1358	PRJNA879920	SAMN30817022	ASM3287881v1	LJL7m20	LJL7m20	Oxford Nanopore	2	2443782	544.0x		99	50.59055	0.95	2023-10-20
GCF_033631205.1	Lactococcus lactis	1358	PRJNA486500	SAMN38113981	ASM3363120v1	B26	B26	Oxford Nanopore; Illumina MiSeq	8	2553411	235.0x		98.66	33.85827	0.94	2023-11-14
GCF_033879915.1	Lactococcus lactis	1358	PRJNA674638	SAMN37326198	ASM3387991v1	NCK401	NCK401	PacBio	1	2551975	75.2x		99.1	59.645668	1.78	2023-11-22
GCF_040027695.1	Lactococcus lactis	1358	PRJNA1116846	SAMN41552037	Lla1834_v1_all	BIM B-1834	BIM B-1834	Illumina MiSeq; Oxford Nanopore MinION	4	2531107	120.0x		98.89	45.866142	0.34	2024-06-04
GCF_040448315.1	Lactococcus lactis	1358	PRJNA1122560	SAMN41787807	ASM4044831v1	FNZ339	FNZ339	Illumina MiSeq; Oxford Nanopore GridION	6	2673297	737.0x		99.32	81.10236	0.63	2024-07-03
GCF_041545465.1	Lactococcus lactis	1358	PRJNA948435	SAMN33903888	ASM4154546v1	MA5	MA5	Oxford Nanopore GridION	5	2520317	275.0x		98.11	16.732283	0.08	2024-08-31
GCF_041879435.1	Lactococcus lactis	1358	PRJNA817013	SAMN26741365	ASM4187943v1	FAM 17919	FAM 17919	PacBio RSII; Illumina HiSeq	6	2718213	542.0x		99.42	91.14173	0.74	2024-09-11
GCF_041930265.1	Lactococcus lactis	1358	PRJNA1152940	SAMN43381642	PacBio sequel II	IFLLLBEK1	IFLLLBEK1	PacBio Sequel	2	2566861	35.0x		99.29	80.314964	0.5	2024-09-17
GCF_003176835.1	Lactococcus lactis subsp. lactis	1360	PRJNA445480	SAMN08792430	ASM317683v1	14B4	14B4	PacBio; Illumina MiSeq	2	2639081	95.0x		99.09	59.25197	2.24	2018-05-30
GCF_002078435.1	Lactococcus lactis subsp. lactis	1360	PRJNA320696	SAMN04955252	ASM207843v1	275	275	PacBio RS	5	2753892	60.9x		99.23	71.65354	1.24	2017-04-04
GCF_002078475.4	Lactococcus lactis subsp. lactis	1360	PRJNA320712	SAMN04956294	ASM207847v4	UC11	UC11	Illumina MiSeq; PacBio Sequel	7	2537767	113.8x		99.4	90.74803	0.93	2023-07-18
GCF_002078495.2	Lactococcus lactis subsp. lactis	1360	PRJNA320717	SAMN04956302	ASM207849v2	UC063	UC063	Illumina MiSeq; PacBio Sequel	6	2536054	95.5x		98.2	18.503937	0.28	2023-06-09
GCF_002078615.4	Lactococcus lactis subsp. lactis	1360	PRJNA320718	SAMN04956303	ASM207861v4	UC77	UC77	Oxford Nanopore; Illumina MiSeq	7	2701962	97.7x		98.45	24.80315	0.36	2024-04-10
GCF_002078855.1	Lactococcus lactis subsp. lactis	1360	PRJNA320724	SAMN04956402	ASM207885v1	UL8	UL8	PacBio RS	4	2459217	45.4x		98.77	39.17323	0.18	2017-04-04
GCF_002078975.4	Lactococcus lactis subsp. lactis	1360	PRJNA320710	SAMN04956292	ASM207897v5	UC06	UC06	Oxford Nanopore; PacBio Sequel; Illumina MiSeq	8	2788530	66.2x		99.73	99.2126	0.79	2024-07-26
GCF_002078995.3	Lactococcus lactis subsp. lactis	1360	PRJNA320711	SAMN04956293	ASM207899v3	UC08	UC08	Oxford Nanopore; Illumina MiSeq	6	2548559	159.4x		99.4	90.74803	1.28	2023-06-30
GCF_002895225.1	Lactococcus lactis subsp. lactis	1360	PRJNA422936	SAMN08200704	ASM289522v1	G50	G50	PacBio	1	2346663	925.0x		98.44	23.228346	0.25	2018-01-22
GCF_013395015.3	Lactococcus lactis subsp. lactis	1360	PRJNA633429	SAMN14943687	ASM1339501v3	G121	G121	PacBio Sequel	5	2706818	280.8x		95.42	5.5118113	0.77	2020-09-17
GCF_016920995.2	Lactococcus lactis subsp. lactis	1360	PRJNA486495	SAMN09847649	ASM1692099v2	WM1	WM1	Illumina MiSeq; Oxford Nanopore	6	2637267	398.0x		98.27	20.47244	0.65	2023-06-30
GCF_016921015.2	Lactococcus lactis subsp. lactis	1360	PRJNA486497	SAMN09847869	ASM1692101v2	223	223	Illumina MiSeq; PacBio Sequel	9	2597933	447.0x		98.45	24.80315	0.86	2023-09-29
GCF_016952955.2	Lactococcus lactis subsp. lactis	1360	PRJNA486498	SAMN09847870	ASM1695295v2	267	267	PacBio Sequel; Illumina MiSeq	6	2633293	450.0x		98.27	20.47244	0.54	2023-06-02
GCF_017821195.2	Lactococcus lactis subsp. lactis	1360	PRJNA673343	SAMN16604567	ASM1782119v2	DRC3	DRC3	Illumina MiSeq; PacBio Sequel	7	2641059	226.0x		98.53	29.33071	1.74	2023-07-18
GCF_022494905.1	Lactococcus lactis subsp. lactis	1360	PRJNA555497	SAMN12321273	ASM2249490v1	IMAU11823	IMAU11823	PacBio RSII	4	2618773	250.0x		99.17	67.32284	0.59	2022-03-07
GCF_023611865.3	Lactococcus lactis subsp. lactis	1360	PRJNA320694	SAMN24806221	ASM2361186v3	229	229	Oxford Nanopore; Illumina MiSeq	7	2686121	629.0x		98.45	24.80315	0.36	2023-10-03
GCF_023611885.1	Lactococcus lactis subsp. lactis	1360	PRJNA320694	SAMN25002609	ASM2361188v1	UC109	UC109	PacBio Sequel	6	2536054	2360.0x		98.2	18.503937	0.28	2022-05-31
GCF_023822185.1	Lactococcus lactis subsp. lactis	1360	PRJNA781389	SAMN23247109	ASM2382218v1	IBB109	IBB109	Illumina MiSeq; Oxford Nanopore GridION	6	2632948	157.0x		98.28	21.653543	0.43	2022-06-21
GCF_023822205.1	Lactococcus lactis subsp. lactis	1360	PRJNA781389	SAMN23247110	ASM2382220v1	IBB417	IBB417	Illumina MiSeq; Oxford Nanopore GridION	6	2508716	136.0x		98.58	31.299213	0.28	2022-06-21
GCF_025562895.2	Lactococcus lactis subsp. lactis	1360	PRJNA691603	SAMN17300602	ASM2556289v2	I.1.1	I.1.1	PacBio Sequel; Illumina MiSeq	7	2670392	166.0x		98.94	48.622047	0.65	2023-06-02
GCF_025562955.2	Lactococcus lactis subsp. lactis	1360	PRJNA691945	SAMN17309603	ASM2556295v3	UL021	UL021	Illumina MiSeq; PacBio RSII	7	2752912	322.0x		99.09	59.25197	0.89	2023-05-05
GCF_030437975.1	Lactococcus lactis subsp. lactis	1360	PRJNA990960	SAMN36278237	ASM3043797v1	KMGR2-43	KMGR2-43	PacBio Sequel; Illumina HiSeq	8	2833095	344.8x		99.39	89.56693	1.37	2023-07-11
GCF_030489665.1	Lactococcus lactis subsp. lactis	1360	PRJNA992956	SAMN36378437	ASM3048966v1	CAB701	CAB701	Illumina MiSeq; PacBio Sequel	2	2575822	448.0x		99.02	52.165356	0.34	2023-07-17
GCF_035985965.1	Lactococcus lactis subsp. lactis	1360	PRJNA1065573	SAMN39463775	ASM3598596v1	C20	C20	PacBio	1	2416264	50.0x		98.45	24.80315	0.34	2024-01-23
